# Detected Anomalies:
1472.0,21.433876288765475,25.353936799774857,193.22755561505815,717.9064701150094,0.00402701028630394
365.0,22.39,25.0925,310.25,809.0,0.004199716
1177.0,20.29,22.79,217.2,441.6,0.003349002
1511.0,23.26,25.85666667,338.3333333,997.3333333,0.004564605
1536.0,23.2,25.65,638.0,938.25,0.00451135
2618.0,20.42666667,23.73,56.33333333,471.6666667,0.003517648
2619.0,20.39,23.7,311.75,474.75,0.003505185
2741.0,22.6,25.4725,1419.5,945.0,0.00431889
2742.0,22.7,25.5,1697.25,951.75,0.00435009
2743.0,22.7,25.456,1209.8,958.6,0.004342532
